Columba arquatrix
Columba livia
Coracias garrulus
Coracias naevius
Coracias spatulatus
Corvus albicollis
Cossypha caffra
Cossypha dichroa
Cossypha heuglini
Cossypha humeralis
Cossypha natalensis
Coturnix coturnix
Coturnix delegorguei
Crex egregia
Crex crex
Crithagra flaviventris
Crithagra sulphurata
Cuculus canorus
Cuculus clamosus
Cuculus gularis
Cursorius temminckii
Dendrocygna bicolor
Dendropicos fuscescens
Dendropicos griseocephalus
Dendropicos namaquus
Dryoscopus cubla
Ardea alba
Egretta ardesiaca
Egretta intermedia
Egretta vinaceigula
Emberiza capensis
Emberiza impetuani
Emberiza tahapisi
Ephippiorhynchus senegalensis
Eremomela icteropygialis
Eremomela scotops
Eremomela usticollis
Eremopterix leucotis
Eremopterix verticalis
Estrilda astrild
Euplectes afer
Euplectes ardens
Ploceus capensis
Euplectes progne
Eupodotis caerulescens
Eupodotis senegalensis
Eurocephalus anguitimens
Eurystomus glaucurus
Falco biarmicus
Falco concolor
Falco naumanni
Falco peregrinus
Falco rupicolus
Falco subbuteo
Falco vespertinus
Fulica cristata
Gallinago nigripennis
Gallinula angulata
Gallirex porphyreolophus
Geronticus calvus
Glareola nordmanni
Glareola pratincola
Glaucidium perlatum
Gorsachius leuconotus
Granatina granatina
Guttera pucherani
Gyps africanus
Gyps coprotheres
Halcyon chelicuti
Halcyon leucocephala
Halcyon senegalensis
Hedydipna collaris
Himantopus himantopus
Hippolais icterina
Hippolais olivetorum
Abrus laevigatus
Abutilon pycnodon
Senegalia fleckii
Agathisanthemum bojeri
Aloe arborescens
Aloe greatheadii
Aloe immaculata
Asparagus africanus
Barleria spinulosa
Blepharis breyeri
Blepharis inaequalis
Chaetacme aristata
Cienfuegosia digitata
Senecio hederiformis
Clematis villosa
Combretum nelsonii
Crotalaria distans
Crotalaria orientalis
Crotalaria pisicarpa
Crotalaria sphaerocarpa
Cryptolepis cryptolepioides
Dicoma anomala
Dicoma macrocephala
Dicoma montana
Dombeya rotundifolia
Fuirena pubescens
Grewia flavescens
Habenaria tysonii
Hebenstretia sp.
Heliotropium ciliatum
Syncolostemon transvaalensis
Hermannia modesta
Hermbstaedtia odorata
Hibiscus coddii
Kewa salsoloides
Indigofera cryptantha
Ipomoea gracilisepala
Curio avasimontanus
Lapeirousia sandersonii
Limeum fenestratum
Lopholaena coriifolia
Melhania acuminata
Mimusops zeyheri
Oxygonum dregeanum
Ozoroa paniculosa
Pelargonium dolomiticum
Portulaca sp.
Ptycholobium plicatum
Rhus lancea
Sansevieria aethiopica
Securidaca longepedunculata
Seddera capensis
Setaria helvola
Sida ovata
Solanum kwebense
Sphedamnocarpus pruriens
Streptocarpus longiflorus
Terminalia brachystemma
Polydora poskeana
Vitex pooara
Vitex rehmannii
Xerophyta viscosa
Cecropis cucullata
Hirundo smithii
Indicator indicator
Indicator minor
Ceyx pictus
Ixobrychus minutus
Ixobrychus sturmii
Jynx ruficollis
Kaupifalco monogrammicus
Lagonosticta rubricata
Lagonosticta senegala
Lamprotornis australis
Lamprotornis chalybaeus
Lamprotornis mevesii
Laniarius aethiopicus
Chroicocephalus cirrocephalus
Larus fuscus
Leptoptilos crumeniferus
Locustella fluviatilis
Lophaetus occipitalis
Lophotis ruficrista
Malaconotus blanchoti
Malcorus pectoralis
Lagonosticta nitidula
Megaceryle maxima
Melierax canorus
Micronisus gabar
Melierax metabates
Merops hirundineus
Merops nubicus
Merops persicus
Merops pusillus
Microparra capensis
Mirafra africana
Mirafra cheniana
Mirafra passerina
Mirafra rufocinnamomea
Monticola brevipes
Monticola rupestris
Motacilla aguimp
Motacilla clara
Motacilla flava
Muscicapa adusta
Muscicapa caerulescens
Mycteria ibis
Myioparus plumbeus
Myrmecocichla formicivora
Necrosyrtes monachus
Nectarinia famosa
Neophron perenopterus
Neotis denhami
Netta erythrophthalma
Nettapus auritus
Nilaus afer
Numenius arquata
Nycticorax nycticorax
Oena capensis
Oenanthe bifasciata
Oenanthe monticola
Oenanthe pileata
Oriolus auratus
Oriolus larvatus
Oriolus oriolus
Ortygospiza atricollis
Otus senegalensis
Oxyura maccoa
